sample_id,feature_kind,feature_idx,ablation_frac,detect_prob,detect_drop,dataset,seed
s218094,causal,0,0.0,0.50466,0.0,ciciomt2024,0
s218094,causal,0,0.25,0.17703,0.32763,ciciomt2024,0
s218094,causal,0,0.5,0.17703,0.32763,ciciomt2024,0
s218094,causal,0,0.75,0.17703,0.32763,ciciomt2024,0
s218094,causal,0,1.0,0.17702,0.32764,ciciomt2024,0
s218094,causal,1,0.0,0.50466,0.0,ciciomt2024,0
s218094,causal,1,0.25,0.54984,-0.04518,ciciomt2024,0
s218094,causal,1,0.5,0.49838,0.00629,ciciomt2024,0
s218094,causal,1,0.75,0.44293,0.06173,ciciomt2024,0
s218094,causal,1,1.0,0.44293,0.06173,ciciomt2024,0
s218094,causal,3,0.0,0.50466,0.0,ciciomt2024,0
s218094,causal,3,0.25,0.80893,-0.30427,ciciomt2024,0
s218094,causal,3,0.5,0.87511,-0.37045,ciciomt2024,0
s218094,causal,3,0.75,0.02896,0.4757,ciciomt2024,0
s218094,causal,3,1.0,0.09631,0.40836,ciciomt2024,0
s218094,causal,13,0.0,0.50466,0.0,ciciomt2024,0
s218094,causal,13,0.25,0.42373,0.08094,ciciomt2024,0
s218094,causal,13,0.5,0.42371,0.08095,ciciomt2024,0
s218094,causal,13,0.75,0.42371,0.08095,ciciomt2024,0
s218094,causal,13,1.0,0.4237,0.08096,ciciomt2024,0
s218094,causal,15,0.0,0.50466,0.0,ciciomt2024,0
s218094,causal,15,0.25,0.37288,0.13178,ciciomt2024,0
s218094,causal,15,0.5,0.37288,0.13178,ciciomt2024,0
s218094,causal,15,0.75,0.37288,0.13178,ciciomt2024,0
s218094,causal,15,1.0,0.37288,0.13178,ciciomt2024,0
s218094,causal,33,0.0,0.50466,0.0,ciciomt2024,0
s218094,causal,33,0.25,0.28014,0.22452,ciciomt2024,0
s218094,causal,33,0.5,0.28014,0.22452,ciciomt2024,0
s218094,causal,33,0.75,0.28014,0.22452,ciciomt2024,0
s218094,causal,33,1.0,0.28014,0.22452,ciciomt2024,0
s218094,causal,35,0.0,0.50466,0.0,ciciomt2024,0
s218094,causal,35,0.25,0.28358,0.22109,ciciomt2024,0
s218094,causal,35,0.5,0.28358,0.22109,ciciomt2024,0
s218094,causal,35,0.75,0.27255,0.23211,ciciomt2024,0
