dataset,seed,sample_id,fused_score,p_value
ciciomt2024,0,s218094,1.588067,0.05298
ciciomt2024,0,s226051,0.081922,0.993377
ciciomt2024,0,s647796,0.874021,0.15894
ciciomt2024,0,s729596,0.081922,0.993377
ciciomt2024,0,s746866,0.081922,0.993377
ciciomt2024,0,s751746,0.100488,0.264901
ciciomt2024,0,s688470,1.256058,0.086093
ciciomt2024,0,s641303,0.081922,0.993377
ciciomt2024,0,s765838,0.226073,0.251656
ciciomt2024,0,s703890,0.081922,0.993377
ciciomt2024,0,s649862,0.081922,0.993377
ciciomt2024,0,s743071,0.081922,0.993377
ciciomt2024,0,s236296,0.081922,0.993377
ciciomt2024,0,s303012,1.147248,0.112583
ciciomt2024,0,s168999,0.081922,0.993377
ciciomt2024,0,s685802,0.081922,0.993377
ciciomt2024,0,s654121,1.256058,0.086093
ciciomt2024,0,s256708,0.081922,0.993377
ciciomt2024,0,s730727,0.081922,0.993377
ciciomt2024,0,s731082,0.081922,0.993377
ciciomt2024,0,s291731,0.081922,0.993377
ciciomt2024,0,s606224,0.081922,0.993377
ciciomt2024,0,s729856,0.081922,0.993377
ciciomt2024,0,s624991,0.081922,0.993377
ciciomt2024,0,s239234,0.081922,0.993377
ciciomt2024,0,s735619,0.081922,0.993377
ciciomt2024,0,s573730,0.874021,0.15894
ciciomt2024,0,s702415,0.081922,0.993377
ciciomt2024,0,s598060,0.081922,0.993377
ciciomt2024,0,s216657,0.081922,0.993377
ciciomt2024,0,s243476,0.446708,0.231788
ciciomt2024,0,s217520,0.081922,0.993377
ciciomt2024,0,s267060,1.002074,0.125828
ciciomt2024,0,s578882,1.200293,0.086093
ciciomt2024,0,s606565,1.147248,0.112583
ciciomt2024,0,s736244,0.081922,0.993377
ciciomt2024,0,s270810,0.081922,0.993377
ciciomt2024,0,s262876,0.081922,0.993377
ciciomt2024,0,s721362,0.081922,0.993377
ciciomt2024,0,s744934,0.081922,0.993377
ciciomt2024,0,s302899,0.100488,0.264901
ciciomt2024,0,s712445,0.081922,0.993377
ciciomt2024,0,s630081,0.204108,0.258278
ciciomt2024,0,s658220,2.341651,0.046358
ciciomt2024,0,s679637,0.081922,0.993377
ciciomt2024,0,s580728,1.588067,0.05298
ciciomt2024,0,s686315,0.182579,0.258278
ciciomt2024,0,s268227,0.081922,0.993377
ciciomt2024,0,s176665,0.081922,0.993377
ciciomt2024,0,s240975,0.081922,0.993377
ciciomt2024,0,s658922,1.147248,0.112583
ciciomt2024,0,s262117,0.081922,0.993377
ciciomt2024,0,s700902,0.081922,0.993377
ciciomt2024,0,s637499,0.081922,0.993377
ciciomt2024,0,s212231,0.081922,0.993377
ciciomt2024,0,s611003,0.834483,0.15894
ciciomt2024,0,s600758,0.081922,0.993377
ciciomt2024,0,s753562,0.081922,0.993377
ciciomt2024,0,s204276,0.081922,0.993377
ciciomt2024,0,s204557,0.081922,0.993377
ciciomt2024,1,s190913,0.081923,0.993377
ciciomt2024,1,s188267,0.081923,0.993377
ciciomt2024,1,s713712,0.366456,0.251656
ciciomt2024,1,s763375,0.081923,0.993377
ciciomt2024,1,s703422,0.081923,0.993377
ciciomt2024,1,s691962,0.081923,0.993377
ciciomt2024,1,s314730,0.081923,0.993377
ciciomt2024,1,s270993,0.081923,0.993377
ciciomt2024,1,s602463,0.081923,0.993377
ciciomt2024,1,s670678,0.081923,0.993377
ciciomt2024,1,s584696,0.081923,0.993377
ciciomt2024,1,s657686,1.384188,0.119205
ciciomt2024,1,s169401,0.081923,0.993377
ciciomt2024,1,s741909,0.758126,0.165563
ciciomt2024,1,s303847,0.081923,0.993377
ciciomt2024,1,s252273,0.081923,0.993377
ciciomt2024,1,s733344,1.384188,0.119205
ciciomt2024,1,s266013,1.077773,0.145695
ciciomt2024,1,s663697,0.081923,0.993377
ciciomt2024,1,s230424,0.081923,0.993377
ciciomt2024,1,s749936,0.081923,0.993377
ciciomt2024,1,s603943,2.195957,0.059603
ciciomt2024,1,s716226,0.081923,0.993377
ciciomt2024,1,s690745,0.081923,0.993377
ciciomt2024,1,s637892,0.081923,0.993377
ciciomt2024,1,s691839,0.081923,0.993377
ciciomt2024,1,s772556,0.081923,0.993377
ciciomt2024,1,s211390,2.55434,0.046358
ciciomt2024,1,s653518,0.081923,0.993377
ciciomt2024,1,s192759,1.816056,0.07947
ciciomt2024,1,s211744,0.081923,0.993377
ciciomt2024,1,s777900,0.081923,0.993377
ciciomt2024,1,s662359,0.081923,0.993377
ciciomt2024,1,s196930,0.190626,0.311258
ciciomt2024,1,s716860,0.081923,0.993377
ciciomt2024,1,s271423,0.081923,0.993377
ciciomt2024,1,s643074,0.081923,0.993377
ciciomt2024,1,s693174,0.287522,0.304636
ciciomt2024,1,s713676,0.081923,0.993377
ciciomt2024,1,s287875,0.081923,0.993377
ciciomt2024,1,s630353,0.081923,0.993377
ciciomt2024,1,s192712,0.081923,0.993377
ciciomt2024,1,s253445,2.55434,0.046358
ciciomt2024,1,s654164,0.081923,0.993377
ciciomt2024,1,s720302,0.081923,0.993377
ciciomt2024,1,s757385,0.081923,0.993377
ciciomt2024,1,s700617,1.621862,0.086093
ciciomt2024,1,s189452,0.081923,0.993377
ciciomt2024,1,s679979,0.313189,0.291391
ciciomt2024,1,s222680,0.081923,0.993377
ciciomt2024,1,s734307,0.081923,0.993377
ciciomt2024,1,s594141,0.081923,0.993377
ciciomt2024,1,s611433,0.081923,0.993377
ciciomt2024,1,s297694,0.081923,0.993377
ciciomt2024,1,s593579,0.081923,0.993377
ciciomt2024,1,s257356,0.081923,0.993377
ciciomt2024,1,s167347,0.081923,0.993377
ciciomt2024,1,s747271,0.081923,0.993377
ciciomt2024,1,s578900,0.394123,0.231788
ciciomt2024,1,s616878,0.081923,0.993377
ciciomt2024,2,s642983,3.628656,0.006623
ciciomt2024,2,s618434,2.988911,0.013245
ciciomt2024,2,s667706,1.271768,0.264901
ciciomt2024,2,s193368,0.042652,0.655629
ciciomt2024,2,s682871,1.271768,0.264901
ciciomt2024,2,s738876,-0.067584,0.675497
ciciomt2024,2,s304474,3.628656,0.006623
ciciomt2024,2,s581620,-0.621716,0.860927
ciciomt2024,2,s255008,1.271768,0.264901
ciciomt2024,2,s740509,-0.656359,0.880795
ciciomt2024,2,s197890,-0.183608,0.708609
ciciomt2024,2,s580029,1.271768,0.264901
ciciomt2024,2,s589908,1.271768,0.264901
ciciomt2024,2,s659145,1.271768,0.264901
ciciomt2024,2,s644640,1.129243,0.304636
ciciomt2024,2,s211312,0.754806,0.403974
ciciomt2024,2,s746071,1.271768,0.264901
ciciomt2024,2,s212492,0.394698,0.496689
ciciomt2024,2,s239884,-0.580355,0.847682
ciciomt2024,2,s619536,1.271768,0.264901
ciciomt2024,2,s585162,2.349167,0.039735
ciciomt2024,2,s301540,0.095897,0.629139
ciciomt2024,2,s662971,-0.209812,0.708609
ciciomt2024,2,s674725,1.271768,0.264901
ciciomt2024,2,s716597,-0.438145,0.807947
ciciomt2024,2,s188700,1.261319,0.271523
ciciomt2024,2,s614991,1.271768,0.264901
ciciomt2024,2,s737871,1.271768,0.264901
ciciomt2024,2,s646919,1.271768,0.264901
ciciomt2024,2,s209908,0.489499,0.470199
ciciomt2024,2,s308804,-0.910406,0.993377
ciciomt2024,2,s662935,1.271768,0.264901
ciciomt2024,2,s611550,1.170869,0.291391
ciciomt2024,2,s671695,3.628656,0.006623
ciciomt2024,2,s679658,1.271768,0.264901
ciciomt2024,2,s589375,1.271768,0.264901
ciciomt2024,2,s635657,1.251603,0.278146
ciciomt2024,2,s678960,1.271768,0.264901
ciciomt2024,2,s168654,-0.493183,0.821192
ciciomt2024,2,s300126,1.271768,0.264901
ciciomt2024,2,s290615,1.271768,0.264901
ciciomt2024,2,s715204,0.57896,0.450331
ciciomt2024,2,s740623,-0.356198,0.774834
ciciomt2024,2,s632573,-0.371191,0.794702
ciciomt2024,2,s656607,0.57896,0.450331
ciciomt2024,2,s586977,1.271768,0.264901
ciciomt2024,2,s598125,0.623616,0.443709
ciciomt2024,2,s777837,3.628656,0.006623
ciciomt2024,2,s204640,1.271768,0.264901
ciciomt2024,2,s649492,1.069677,0.317881
ciciomt2024,2,s240203,0.247348,0.569536
ciciomt2024,2,s226173,1.271768,0.264901
ciciomt2024,2,s594039,1.271768,0.264901
ciciomt2024,2,s597586,0.966061,0.350993
ciciomt2024,2,s232287,0.623616,0.443709
ciciomt2024,2,s310385,0.818694,0.370861
ciciomt2024,2,s643702,1.271768,0.264901
ciciomt2024,2,s753771,1.271768,0.264901
ciciomt2024,2,s184007,1.271768,0.264901
ciciomt2024,2,s580552,0.754806,0.403974
ciciomt2024,3,s574182,0.081923,0.993377
ciciomt2024,3,s605791,2.377259,0.033113
ciciomt2024,3,s316492,0.081923,0.993377
ciciomt2024,3,s196106,2.079535,0.086093
ciciomt2024,3,s722840,0.081923,0.993377
ciciomt2024,3,s684453,0.081923,0.993377
ciciomt2024,3,s730147,2.377259,0.033113
ciciomt2024,3,s259289,1.577079,0.099338
ciciomt2024,3,s725340,0.081923,0.993377
ciciomt2024,3,s608872,0.081923,0.993377
ciciomt2024,3,s701576,0.081923,0.993377
ciciomt2024,3,s265954,0.081923,0.993377
ciciomt2024,3,s278047,0.081923,0.993377
ciciomt2024,3,s659803,0.081923,0.993377
ciciomt2024,3,s179036,0.081923,0.993377
ciciomt2024,3,s644624,0.081923,0.993377
ciciomt2024,3,s259316,1.29945,0.125828
ciciomt2024,3,s251896,2.079535,0.086093
ciciomt2024,3,s768472,0.081923,0.993377
ciciomt2024,3,s600011,0.081923,0.993377
ciciomt2024,3,s722283,0.081923,0.993377
ciciomt2024,3,s771097,0.081923,0.993377
ciciomt2024,3,s762702,0.081923,0.993377
ciciomt2024,3,s728981,0.081923,0.993377
ciciomt2024,3,s777772,0.081923,0.993377
ciciomt2024,3,s231798,0.081923,0.993377
ciciomt2024,3,s659590,0.081923,0.993377
ciciomt2024,3,s736720,1.131258,0.145695
ciciomt2024,3,s260270,0.582107,0.251656
ciciomt2024,3,s706497,0.081923,0.993377
ciciomt2024,3,s709016,0.081923,0.993377
ciciomt2024,3,s632986,0.081923,0.993377
ciciomt2024,3,s659586,0.081923,0.993377
ciciomt2024,3,s641324,0.081923,0.993377
ciciomt2024,3,s707236,0.081923,0.993377
ciciomt2024,3,s195443,0.081923,0.993377
ciciomt2024,3,s299624,1.29945,0.125828
ciciomt2024,3,s690280,2.217727,0.05298
ciciomt2024,3,s177877,0.084345,0.377483
ciciomt2024,3,s274410,3.514221,0.02649
ciciomt2024,3,s275589,2.079535,0.086093
ciciomt2024,3,s685809,0.225229,0.337748
ciciomt2024,3,s698254,0.33907,0.317881
ciciomt2024,3,s736293,1.240297,0.125828
ciciomt2024,3,s678047,0.081923,0.993377
ciciomt2024,3,s590223,0.081923,0.993377
ciciomt2024,3,s768286,0.711639,0.18543
ciciomt2024,3,s778637,0.081923,0.993377
ciciomt2024,3,s254658,0.363421,0.311258
ciciomt2024,3,s742114,0.081923,0.993377
ciciomt2024,3,s179428,1.29945,0.125828
ciciomt2024,3,s574463,0.081923,0.993377
ciciomt2024,3,s302659,0.081923,0.993377
ciciomt2024,3,s259096,3.514221,0.02649
ciciomt2024,3,s661599,0.33907,0.317881
ciciomt2024,3,s299866,0.081923,0.993377
ciciomt2024,3,s218791,0.613002,0.225166
ciciomt2024,3,s259306,0.081923,0.993377
ciciomt2024,3,s172935,4.231564,0.013245
ciciomt2024,3,s205414,0.081923,0.993377
ciciomt2024,4,s644860,-0.50744,0.860927
ciciomt2024,4,s598565,0.518207,0.675497
ciciomt2024,4,s581190,0.518207,0.675497
ciciomt2024,4,s754123,-0.619872,0.907285
ciciomt2024,4,s766274,0.518207,0.675497
ciciomt2024,4,s308803,0.862528,0.119205
ciciomt2024,4,s598734,0.518207,0.675497
ciciomt2024,4,s701522,0.518207,0.675497
ciciomt2024,4,s769429,0.518207,0.675497
ciciomt2024,4,s312703,-0.264778,0.84106
ciciomt2024,4,s654010,0.518207,0.675497
ciciomt2024,4,s661649,0.518207,0.675497
ciciomt2024,4,s200079,0.518207,0.675497
ciciomt2024,4,s209349,0.518207,0.675497
ciciomt2024,4,s258183,0.518207,0.675497
ciciomt2024,4,s629329,0.518207,0.675497
ciciomt2024,4,s640112,0.518207,0.675497
ciciomt2024,4,s217960,-0.890596,0.960265
ciciomt2024,4,s681188,0.330146,0.721854
ciciomt2024,4,s276942,0.518207,0.675497
ciciomt2024,4,s613644,0.236791,0.748344
