dataset,seed,sample_id,condition,certified_radius,certifiable,at_ceiling
ciciomt2024,0,s218094,clean,0.0,0,0
ciciomt2024,0,s226051,clean,0.0,0,0
ciciomt2024,0,s647796,clean,0.0,0,0
ciciomt2024,0,s729596,clean,0.0,0,0
ciciomt2024,0,s746866,clean,0.0,0,0
ciciomt2024,0,s751746,clean,0.0,0,0
ciciomt2024,0,s688470,clean,0.0,0,0
ciciomt2024,0,s641303,clean,0.0,0,0
ciciomt2024,0,s765838,clean,0.0,0,0
ciciomt2024,0,s703890,clean,0.0,0,0
ciciomt2024,0,s649862,clean,0.0,0,0
ciciomt2024,0,s743071,clean,0.0,0,0
ciciomt2024,0,s236296,clean,0.0,0,0
ciciomt2024,0,s303012,clean,0.0,0,0
ciciomt2024,0,s168999,clean,0.0,0,0
ciciomt2024,0,s685802,clean,0.0,0,0
ciciomt2024,0,s654121,clean,0.0,0,0
ciciomt2024,0,s256708,clean,0.0,0,0
ciciomt2024,0,s730727,clean,0.0,0,0
ciciomt2024,0,s731082,clean,0.0,0,0
ciciomt2024,0,s291731,clean,0.0,0,0
ciciomt2024,0,s606224,clean,0.0,0,0
ciciomt2024,0,s729856,clean,0.0,0,0
ciciomt2024,0,s624991,clean,0.0,0,0
ciciomt2024,0,s239234,clean,0.0,0,0
ciciomt2024,0,s735619,clean,0.0,0,0
ciciomt2024,0,s573730,clean,0.0,0,0
ciciomt2024,0,s702415,clean,0.0,0,0
ciciomt2024,0,s598060,clean,0.0,0,0
ciciomt2024,0,s216657,clean,0.0,0,0
ciciomt2024,0,s243476,clean,0.0,0,0
ciciomt2024,0,s217520,clean,0.0,0,0
ciciomt2024,0,s267060,clean,0.0,0,0
ciciomt2024,0,s578882,clean,0.0,0,0
ciciomt2024,0,s606565,clean,0.0,0,0
ciciomt2024,0,s736244,clean,0.0,0,0
ciciomt2024,0,s270810,clean,0.0,0,0
ciciomt2024,0,s262876,clean,0.0,0,0
ciciomt2024,0,s721362,clean,0.0,0,0
