dataset,seed,attack,signal,auroc
ciciomt2024,0,A1_misdirection,cross_method_consensus,0.5199
ciciomt2024,0,A1_misdirection,certified_stability,0.2583
ciciomt2024,0,A1_displacement,cross_method_consensus,0.3206
ciciomt2024,0,A1_displacement,certified_stability,0.2417
ciciomt2024,0,A3_scaffolding,cross_method_consensus,0.5635
ciciomt2024,0,A3_scaffolding,certified_stability,0.5
ciciomt2024,1,A1_misdirection,cross_method_consensus,0.3257
ciciomt2024,1,A1_misdirection,certified_stability,0.2667
ciciomt2024,1,A1_displacement,cross_method_consensus,0.2471
ciciomt2024,1,A1_displacement,certified_stability,0.3667
ciciomt2024,1,A3_scaffolding,cross_method_consensus,0.5208
ciciomt2024,1,A3_scaffolding,certified_stability,0.5
ciciomt2024,2,A1_misdirection,cross_method_consensus,0.4882
ciciomt2024,2,A1_misdirection,certified_stability,0.4978
ciciomt2024,2,A1_displacement,cross_method_consensus,0.2582
ciciomt2024,2,A1_displacement,certified_stability,0.5676
ciciomt2024,2,A3_scaffolding,cross_method_consensus,0.5558
ciciomt2024,2,A3_scaffolding,certified_stability,0.4797
ciciomt2024,3,A1_misdirection,cross_method_consensus,0.2571
ciciomt2024,3,A1_misdirection,certified_stability,0.4744
ciciomt2024,3,A1_displacement,cross_method_consensus,0.1369
ciciomt2024,3,A1_displacement,certified_stability,0.39
ciciomt2024,3,A3_scaffolding,cross_method_consensus,0.4568
ciciomt2024,3,A3_scaffolding,certified_stability,0.5083
ciciomt2024,4,A1_misdirection,cross_method_consensus,0.3931
ciciomt2024,4,A1_misdirection,certified_stability,0.2806
ciciomt2024,4,A1_displacement,cross_method_consensus,0.3685
ciciomt2024,4,A1_displacement,certified_stability,0.3974
ciciomt2024,4,A3_scaffolding,cross_method_consensus,0.5358
ciciomt2024,4,A3_scaffolding,certified_stability,0.5153
