sample_id,feature_kind,feature_idx,ablation_frac,detect_prob,detect_drop,dataset,seed
s88509,causal,2,0.0,0.77288,0.0,ciciot2023,0
s88509,causal,2,0.25,0.62707,0.14581,ciciot2023,0
s88509,causal,2,0.5,0.62651,0.14637,ciciot2023,0
s88509,causal,2,0.75,0.62651,0.14637,ciciot2023,0
s88509,causal,2,1.0,0.628,0.14488,ciciot2023,0
s88509,causal,3,0.0,0.77288,0.0,ciciot2023,0
s88509,causal,3,0.25,0.60565,0.16722,ciciot2023,0
s88509,causal,3,0.5,0.60564,0.16724,ciciot2023,0
s88509,causal,3,0.75,0.61509,0.15778,ciciot2023,0
s88509,causal,3,1.0,0.61509,0.15779,ciciot2023,0
s88509,causal,4,0.0,0.77288,0.0,ciciot2023,0
s88509,causal,4,0.25,0.80331,-0.03043,ciciot2023,0
s88509,causal,4,0.5,0.78549,-0.01262,ciciot2023,0
s88509,causal,4,0.75,0.71128,0.0616,ciciot2023,0
s88509,causal,4,1.0,0.67572,0.09716,ciciot2023,0
s88509,causal,13,0.0,0.77288,0.0,ciciot2023,0
s88509,causal,13,0.25,0.8141,-0.04122,ciciot2023,0
s88509,causal,13,0.5,0.79072,-0.01785,ciciot2023,0
s88509,causal,13,0.75,0.70917,0.0637,ciciot2023,0
s88509,causal,13,1.0,0.68789,0.08498,ciciot2023,0
s88509,causal,14,0.0,0.77288,0.0,ciciot2023,0
s88509,causal,14,0.25,0.56148,0.21139,ciciot2023,0
s88509,causal,14,0.5,0.48969,0.28318,ciciot2023,0
s88509,causal,14,0.75,0.4863,0.28658,ciciot2023,0
s88509,causal,14,1.0,0.48644,0.28644,ciciot2023,0
s88509,causal,16,0.0,0.77288,0.0,ciciot2023,0
s88509,causal,16,0.25,0.655,0.11788,ciciot2023,0
s88509,causal,16,0.5,0.655,0.11787,ciciot2023,0
s88509,causal,16,0.75,0.48314,0.28974,ciciot2023,0
s88509,causal,16,1.0,0.48314,0.28974,ciciot2023,0
s88509,causal,17,0.0,0.77288,0.0,ciciot2023,0
s88509,causal,17,0.25,0.68011,0.09277,ciciot2023,0
s88509,causal,17,0.5,0.68009,0.09278,ciciot2023,0
s88509,causal,17,0.75,0.68005,0.09282,ciciot2023,0
s88509,causal,17,1.0,0.6801,0.09277,ciciot2023,0
s88509,causal,30,0.0,0.77288,0.0,ciciot2023,0
s88509,causal,30,0.25,0.73289,0.03999,ciciot2023,0
s88509,causal,30,0.5,0.72524,0.04764,ciciot2023,0
s88509,causal,30,0.75,0.71752,0.05535,ciciot2023,0
s88509,causal,30,1.0,0.71751,0.05537,ciciot2023,0
s88509,causal,33,0.0,0.77288,0.0,ciciot2023,0
s88509,causal,33,0.25,0.70946,0.06342,ciciot2023,0
s88509,causal,33,0.5,0.70945,0.06343,ciciot2023,0
s88509,causal,33,0.75,0.70942,0.06346,ciciot2023,0
s88509,causal,33,1.0,0.70942,0.06346,ciciot2023,0
s88509,causal,34,0.0,0.77288,0.0,ciciot2023,0
s88509,causal,34,0.25,0.20892,0.56396,ciciot2023,0
s88509,causal,34,0.5,0.20862,0.56425,ciciot2023,0
s88509,causal,34,0.75,0.54713,0.22575,ciciot2023,0
s88509,causal,34,1.0,0.54862,0.22426,ciciot2023,0
s88509,non_causal,5,0.0,0.77288,0.0,ciciot2023,0
s88509,non_causal,5,0.25,0.77288,0.0,ciciot2023,0
s88509,non_causal,5,0.5,0.77288,0.0,ciciot2023,0
s88509,non_causal,5,0.75,0.77288,0.0,ciciot2023,0
s88509,non_causal,5,1.0,0.77288,0.0,ciciot2023,0
s88509,non_causal,18,0.0,0.77288,0.0,ciciot2023,0
s88509,non_causal,18,0.25,0.77288,0.0,ciciot2023,0
s88509,non_causal,18,0.5,0.77288,0.0,ciciot2023,0
s88509,non_causal,18,0.75,0.77288,0.0,ciciot2023,0
