dataset,seed,sample_id,fused_score,p_value
ciciot2023,0,s88509,3.501758,0.013245
ciciot2023,0,s915454,0.133458,0.980132
ciciot2023,0,s1410261,0.133458,0.980132
ciciot2023,0,s370686,0.673551,0.284768
ciciot2023,0,s1580706,0.133458,0.980132
ciciot2023,0,s1233097,0.133458,0.980132
ciciot2023,0,s1261149,0.133458,0.980132
ciciot2023,0,s994759,1.006672,0.238411
ciciot2023,0,s1448895,1.707358,0.165563
ciciot2023,0,s532792,0.133458,0.980132
ciciot2023,0,s1025468,0.133458,0.980132
ciciot2023,0,s650359,0.133458,0.980132
ciciot2023,0,s1435946,0.133458,0.980132
ciciot2023,0,s259014,0.133458,0.980132
ciciot2023,0,s1520388,1.09342,0.225166
ciciot2023,0,s1046526,0.133458,0.980132
ciciot2023,0,s1109111,0.848358,0.264901
ciciot2023,0,s1026577,2.570086,0.039735
ciciot2023,0,s876793,0.133458,0.980132
ciciot2023,0,s962786,0.133458,0.980132
ciciot2023,0,s708837,1.856858,0.15894
ciciot2023,0,s978406,1.450557,0.18543
ciciot2023,0,s548818,0.133458,0.980132
ciciot2023,0,s322242,0.133458,0.980132
ciciot2023,0,s834685,0.133458,0.980132
ciciot2023,0,s323800,-0.500662,0.993377
ciciot2023,0,s1483995,0.133458,0.980132
ciciot2023,0,s1116516,0.133458,0.980132
ciciot2023,0,s411032,0.886223,0.245033
ciciot2023,0,s1072342,2.217437,0.086093
ciciot2023,0,s600713,0.965311,0.245033
ciciot2023,0,s1153397,0.133458,0.980132
ciciot2023,0,s257788,0.133458,0.980132
ciciot2023,0,s875826,0.133458,0.980132
ciciot2023,0,s1280936,0.133458,0.980132
ciciot2023,0,s977126,1.006672,0.238411
ciciot2023,0,s1124878,0.133458,0.980132
ciciot2023,0,s1039658,2.441978,0.059603
ciciot2023,0,s910912,0.133458,0.980132
ciciot2023,0,s1196843,2.441978,0.059603
ciciot2023,0,s663317,0.133458,0.980132
ciciot2023,0,s646105,0.133458,0.980132
ciciot2023,0,s1240308,0.133458,0.980132
ciciot2023,0,s1223110,0.133458,0.980132
ciciot2023,0,s128612,0.133458,0.980132
ciciot2023,0,s1391821,0.133458,0.980132
ciciot2023,0,s342003,0.133458,0.980132
ciciot2023,0,s1160429,0.133458,0.980132
ciciot2023,0,s275932,1.856858,0.15894
ciciot2023,0,s142215,0.133458,0.980132
ciciot2023,0,s1518707,0.848358,0.264901
ciciot2023,0,s1005190,0.254482,0.364238
