dataset,seed,sample_id,condition,certified_radius,certifiable,at_ceiling
ciciot2023,0,s88509,clean,0.0,0,0
ciciot2023,0,s915454,clean,0.0,0,0
ciciot2023,0,s1410261,clean,0.0,0,0
ciciot2023,0,s370686,clean,0.0,0,0
ciciot2023,0,s1580706,clean,0.0,0,0
ciciot2023,0,s1233097,clean,0.0,0,0
ciciot2023,0,s1261149,clean,0.0,0,0
ciciot2023,0,s994759,clean,0.034973,1,0
ciciot2023,0,s1448895,clean,0.0,0,0
ciciot2023,0,s532792,clean,0.0,0,0
ciciot2023,0,s1025468,clean,0.0,0,0
ciciot2023,0,s650359,clean,0.0,0,0
ciciot2023,0,s1435946,clean,0.0,0,0
ciciot2023,0,s259014,clean,0.0,0,0
ciciot2023,0,s1520388,clean,0.0,0,0
ciciot2023,0,s1046526,clean,0.0,0,0
ciciot2023,0,s1109111,clean,0.0,0,0
ciciot2023,0,s1026577,clean,0.0,0,0
ciciot2023,0,s876793,clean,0.0,0,0
ciciot2023,0,s962786,clean,0.0,0,0
ciciot2023,0,s708837,clean,0.0,0,0
ciciot2023,0,s978406,clean,0.0,0,0
ciciot2023,0,s548818,clean,0.0,0,0
ciciot2023,0,s322242,clean,0.0,0,0
ciciot2023,0,s834685,clean,0.0,0,0
ciciot2023,0,s323800,clean,0.002635,1,0
ciciot2023,0,s1483995,clean,0.0,0,0
ciciot2023,0,s1116516,clean,0.0,0,0
ciciot2023,0,s411032,clean,0.0,0,0
ciciot2023,0,s1072342,clean,0.0,0,0
ciciot2023,0,s600713,clean,0.0,0,0
ciciot2023,0,s1153397,clean,0.0,0,0
ciciot2023,0,s257788,clean,0.0,0,0
ciciot2023,0,s875826,clean,0.0,0,0
ciciot2023,0,s1280936,clean,0.0,0,0
ciciot2023,0,s977126,clean,0.0,0,0
ciciot2023,0,s1124878,clean,0.0,0,0
ciciot2023,0,s1039658,clean,0.0,0,0
ciciot2023,0,s910912,clean,0.0,0,0
ciciot2023,0,s1196843,clean,0.0,0,0
ciciot2023,0,s663317,clean,0.0,0,0
ciciot2023,0,s646105,clean,0.0,0,0
ciciot2023,0,s1240308,clean,0.0,0,0
ciciot2023,0,s1223110,clean,0.0,0,0
ciciot2023,0,s128612,clean,0.0,0,0
ciciot2023,0,s1391821,clean,0.0,0,0
ciciot2023,0,s342003,clean,0.0,0,0
ciciot2023,0,s1160429,clean,0.0,0,0
ciciot2023,0,s275932,clean,0.0,0,0
ciciot2023,0,s142215,clean,0.0,0,0
ciciot2023,0,s1518707,clean,0.0,0,0
