dataset,seed,attack,signal,auroc
ciciot2023,0,A1_misdirection,cross_method_consensus,0.6257
ciciot2023,0,A1_misdirection,certified_stability,0.4658
ciciot2023,0,A1_displacement,cross_method_consensus,0.4154
ciciot2023,0,A1_displacement,certified_stability,0.3654
ciciot2023,0,A3_scaffolding,cross_method_consensus,0.5364
ciciot2023,0,A3_scaffolding,certified_stability,0.4997
ciciot2023,1,A1_misdirection,cross_method_consensus,0.584
ciciot2023,1,A1_misdirection,certified_stability,0.4508
ciciot2023,1,A1_displacement,cross_method_consensus,0.3721
ciciot2023,1,A1_displacement,certified_stability,0.3608
ciciot2023,1,A3_scaffolding,cross_method_consensus,0.5707
ciciot2023,1,A3_scaffolding,certified_stability,0.5
ciciot2023,2,A1_misdirection,cross_method_consensus,0.6949
ciciot2023,2,A1_misdirection,certified_stability,0.4417
ciciot2023,2,A1_displacement,cross_method_consensus,0.5947
ciciot2023,2,A1_displacement,certified_stability,0.2583
ciciot2023,2,A3_scaffolding,cross_method_consensus,0.6061
ciciot2023,2,A3_scaffolding,certified_stability,0.5
ciciot2023,3,A1_misdirection,cross_method_consensus,0.6746
ciciot2023,3,A1_misdirection,certified_stability,0.4574
ciciot2023,3,A1_displacement,cross_method_consensus,0.5301
ciciot2023,3,A1_displacement,certified_stability,0.2089
ciciot2023,3,A3_scaffolding,cross_method_consensus,0.6299
ciciot2023,3,A3_scaffolding,certified_stability,0.5167
ciciot2023,4,A1_misdirection,cross_method_consensus,0.6182
ciciot2023,4,A1_misdirection,certified_stability,0.4667
ciciot2023,4,A1_displacement,cross_method_consensus,0.4647
ciciot2023,4,A1_displacement,certified_stability,0.3
ciciot2023,4,A3_scaffolding,cross_method_consensus,0.3214
ciciot2023,4,A3_scaffolding,certified_stability,0.5
