sample_id,feature_kind,feature_idx,ablation_frac,detect_prob,detect_drop,dataset,seed
s142652,causal,8,0.0,0.99995,0.0,fiveg_nidd,0
s142652,causal,8,0.25,0.90506,0.09489,fiveg_nidd,0
s142652,causal,8,0.5,0.90506,0.09489,fiveg_nidd,0
s142652,causal,8,0.75,0.90506,0.09489,fiveg_nidd,0
s142652,causal,8,1.0,0.90506,0.09489,fiveg_nidd,0
s142652,causal,32,0.0,0.99995,0.0,fiveg_nidd,0
s142652,causal,32,0.25,0.06544,0.93451,fiveg_nidd,0
s142652,causal,32,0.5,0.06544,0.93451,fiveg_nidd,0
s142652,causal,32,0.75,0.06544,0.93451,fiveg_nidd,0
s142652,causal,32,1.0,0.06544,0.93451,fiveg_nidd,0
s142652,non_causal,22,0.0,0.99995,0.0,fiveg_nidd,0
s142652,non_causal,22,0.25,0.99995,0.0,fiveg_nidd,0
s142652,non_causal,22,0.5,0.99995,0.0,fiveg_nidd,0
s142652,non_causal,22,0.75,0.99995,0.0,fiveg_nidd,0
s142652,non_causal,22,1.0,0.99995,0.0,fiveg_nidd,0
s142652,non_causal,21,0.0,0.99995,0.0,fiveg_nidd,0
s142652,non_causal,21,0.25,0.99994,1e-05,fiveg_nidd,0
s142652,non_causal,21,0.5,0.99994,1e-05,fiveg_nidd,0
s142652,non_causal,21,0.75,0.99994,1e-05,fiveg_nidd,0
s142652,non_causal,21,1.0,0.99994,1e-05,fiveg_nidd,0
s142652,non_causal,4,0.0,0.99995,0.0,fiveg_nidd,0
s142652,non_causal,4,0.25,0.99995,0.0,fiveg_nidd,0
s142652,non_causal,4,0.5,0.99995,0.0,fiveg_nidd,0
s142652,non_causal,4,0.75,0.99995,0.0,fiveg_nidd,0
s142652,non_causal,4,1.0,0.99995,0.0,fiveg_nidd,0
s129551,causal,8,0.0,0.99988,0.0,fiveg_nidd,0
s129551,causal,8,0.25,0.22301,0.77688,fiveg_nidd,0
s129551,causal,8,0.5,0.22301,0.77688,fiveg_nidd,0
s129551,causal,8,0.75,0.22301,0.77688,fiveg_nidd,0
s129551,causal,8,1.0,0.22301,0.77688,fiveg_nidd,0
s129551,causal,40,0.0,0.99988,0.0,fiveg_nidd,0
s129551,causal,40,0.25,0.99992,-4e-05,fiveg_nidd,0
s129551,causal,40,0.5,0.99985,3e-05,fiveg_nidd,0
s129551,causal,40,0.75,0.82565,0.17423,fiveg_nidd,0
s129551,causal,40,1.0,0.82565,0.17423,fiveg_nidd,0
s129551,non_causal,35,0.0,0.99988,0.0,fiveg_nidd,0
