dataset,seed,sample_id,fused_score,p_value
fiveg_nidd,0,s142652,0.110643,0.980132
fiveg_nidd,0,s129551,0.110643,0.980132
fiveg_nidd,0,s140444,0.77836,0.205298
fiveg_nidd,0,s350314,0.45814,0.291391
fiveg_nidd,0,s324688,1.024736,0.119205
fiveg_nidd,0,s143546,2.868091,0.006623
fiveg_nidd,0,s119913,0.110643,0.980132
fiveg_nidd,0,s293339,0.894936,0.13245
fiveg_nidd,0,s179833,1.280312,0.092715
fiveg_nidd,0,s305325,0.110643,0.980132
fiveg_nidd,0,s140433,0.110643,0.980132
fiveg_nidd,0,s135482,0.110643,0.980132
fiveg_nidd,0,s324030,0.110643,0.980132
fiveg_nidd,0,s293500,0.815916,0.15894
fiveg_nidd,0,s303750,0.110643,0.980132
fiveg_nidd,0,s316302,0.230846,0.317881
fiveg_nidd,0,s293495,1.609806,0.092715
fiveg_nidd,0,s340087,0.110643,0.980132
fiveg_nidd,0,s143477,2.329777,0.019868
fiveg_nidd,0,s141529,0.854745,0.15894
fiveg_nidd,0,s140681,0.1427,0.331126
fiveg_nidd,0,s141150,0.110643,0.980132
fiveg_nidd,0,s304225,0.110643,0.980132
fiveg_nidd,0,s312287,1.024736,0.119205
fiveg_nidd,0,s143382,2.659271,0.013245
fiveg_nidd,0,s177878,1.865381,0.066225
fiveg_nidd,0,s315997,0.110643,0.980132
fiveg_nidd,0,s140282,0.672561,0.231788
fiveg_nidd,0,s339968,0.110643,0.980132
fiveg_nidd,0,s304502,0.110643,0.980132
fiveg_nidd,0,s316504,0.77836,0.205298
fiveg_nidd,0,s350274,0.77836,0.205298
fiveg_nidd,0,s134692,0.854745,0.15894
fiveg_nidd,0,s158772,2.194875,0.02649
fiveg_nidd,0,s323492,0.854745,0.15894
fiveg_nidd,0,s107418,0.110643,0.980132
fiveg_nidd,0,s140828,2.074202,0.02649
fiveg_nidd,0,s314919,0.110643,0.980132
fiveg_nidd,0,s119595,0.253985,0.317881
fiveg_nidd,0,s317411,0.110643,0.980132
fiveg_nidd,0,s315447,1.071491,0.119205
fiveg_nidd,0,s107719,0.110643,0.980132
fiveg_nidd,0,s314273,0.110643,0.980132
fiveg_nidd,0,s142924,0.110643,0.980132
fiveg_nidd,0,s159289,0.110643,0.980132
fiveg_nidd,0,s134927,0.40359,0.291391
fiveg_nidd,0,s119388,0.110643,0.980132
fiveg_nidd,0,s303374,0.110643,0.980132
fiveg_nidd,0,s313388,0.110643,0.980132
fiveg_nidd,0,s118599,0.110643,0.980132
fiveg_nidd,0,s129888,0.741997,0.225166
fiveg_nidd,0,s341111,0.110643,0.980132
fiveg_nidd,0,s134375,2.659271,0.013245
fiveg_nidd,0,s135091,1.965039,0.02649
fiveg_nidd,0,s134477,2.659271,0.013245
fiveg_nidd,0,s305096,0.110643,0.980132
