dataset,seed,sample_id,condition,certified_radius,certifiable,at_ceiling
fiveg_nidd,0,s142652,clean,0.0,0,0
fiveg_nidd,0,s129551,clean,0.0,0,0
fiveg_nidd,0,s140444,clean,0.0,0,0
fiveg_nidd,0,s350314,clean,0.0,0,0
fiveg_nidd,0,s324688,clean,0.0,0,0
fiveg_nidd,0,s143546,clean,0.0,0,0
fiveg_nidd,0,s119913,clean,0.0,0,0
fiveg_nidd,0,s293339,clean,0.0,0,0
fiveg_nidd,0,s179833,clean,0.0,0,0
fiveg_nidd,0,s305325,clean,0.0,0,0
fiveg_nidd,0,s140433,clean,0.0,0,0
fiveg_nidd,0,s135482,clean,0.0,0,0
fiveg_nidd,0,s324030,clean,0.0,0,0
fiveg_nidd,0,s293500,clean,0.0,0,0
fiveg_nidd,0,s303750,clean,0.0,0,0
fiveg_nidd,0,s316302,clean,0.0,0,0
fiveg_nidd,0,s293495,clean,0.0,0,0
fiveg_nidd,0,s340087,clean,0.0,0,0
fiveg_nidd,0,s143477,clean,0.0,0,0
fiveg_nidd,0,s141529,clean,0.0,0,0
fiveg_nidd,0,s140681,clean,0.0,0,0
fiveg_nidd,0,s141150,clean,0.0,0,0
fiveg_nidd,0,s304225,clean,0.0,0,0
fiveg_nidd,0,s312287,clean,0.0,0,0
fiveg_nidd,0,s143382,clean,0.0,0,0
fiveg_nidd,0,s177878,clean,0.0,0,0
fiveg_nidd,0,s315997,clean,0.0,0,0
fiveg_nidd,0,s140282,clean,0.0,0,0
fiveg_nidd,0,s339968,clean,0.0,0,0
fiveg_nidd,0,s304502,clean,0.0,0,0
fiveg_nidd,0,s316504,clean,0.0,0,0
fiveg_nidd,0,s350274,clean,0.0,0,0
fiveg_nidd,0,s134692,clean,0.0,0,0
fiveg_nidd,0,s158772,clean,0.0,0,0
fiveg_nidd,0,s323492,clean,0.0,0,0
fiveg_nidd,0,s107418,clean,0.0,0,0
fiveg_nidd,0,s140828,clean,0.0,0,0
fiveg_nidd,0,s314919,clean,0.0,0,0
fiveg_nidd,0,s119595,clean,0.0,0,0
fiveg_nidd,0,s317411,clean,0.0,0,0
fiveg_nidd,0,s315447,clean,0.0,0,0
fiveg_nidd,0,s107719,clean,0.0,0,0
fiveg_nidd,0,s314273,clean,0.0,0,0
fiveg_nidd,0,s142924,clean,0.0,0,0
fiveg_nidd,0,s159289,clean,0.0,0,0
fiveg_nidd,0,s134927,clean,0.0,0,0
fiveg_nidd,0,s119388,clean,0.0,0,0
fiveg_nidd,0,s303374,clean,0.0,0,0
fiveg_nidd,0,s313388,clean,0.0,0,0
fiveg_nidd,0,s118599,clean,0.0,0,0
fiveg_nidd,0,s129888,clean,0.0,0,0
fiveg_nidd,0,s341111,clean,0.0,0,0
fiveg_nidd,0,s134375,clean,0.0,0,0
fiveg_nidd,0,s135091,clean,0.0,0,0
fiveg_nidd,0,s134477,clean,0.0,0,0
fiveg_nidd,0,s305096,clean,0.0,0,0
fiveg_nidd,0,s302737,clean,0.0,0,0
fiveg_nidd,0,s313193,clean,0.0,0,0
fiveg_nidd,0,s292175,clean,0.0,0,0
fiveg_nidd,0,s179653,clean,0.0,0,0
fiveg_nidd,0,s142652,A1_misdirection,0.0,0,0
fiveg_nidd,0,s129551,A1_misdirection,0.0,0,0
fiveg_nidd,0,s140444,A1_misdirection,0.0,0,0
fiveg_nidd,0,s350314,A1_misdirection,0.0,0,0
fiveg_nidd,0,s324688,A1_misdirection,0.0,0,0
fiveg_nidd,0,s143546,A1_misdirection,0.0,0,0
fiveg_nidd,0,s119913,A1_misdirection,0.0,0,0
fiveg_nidd,0,s293339,A1_misdirection,0.0,0,0
fiveg_nidd,0,s179833,A1_misdirection,0.0,0,0
fiveg_nidd,0,s305325,A1_misdirection,0.0,0,0
fiveg_nidd,0,s140433,A1_misdirection,0.0,0,0
fiveg_nidd,0,s135482,A1_misdirection,0.0,0,0
fiveg_nidd,0,s324030,A1_misdirection,0.0,0,0
fiveg_nidd,0,s293500,A1_misdirection,0.0,0,0
fiveg_nidd,0,s303750,A1_misdirection,0.0,0,0
fiveg_nidd,0,s316302,A1_misdirection,0.0,0,0
fiveg_nidd,0,s293495,A1_misdirection,0.0,0,0
fiveg_nidd,0,s340087,A1_misdirection,0.026699,1,0
fiveg_nidd,0,s143477,A1_misdirection,0.0,0,0
fiveg_nidd,0,s141529,A1_misdirection,0.0,0,0
fiveg_nidd,0,s140681,A1_misdirection,0.0,0,0
fiveg_nidd,0,s141150,A1_misdirection,0.0,0,0
fiveg_nidd,0,s304225,A1_misdirection,0.0,0,0
fiveg_nidd,0,s312287,A1_misdirection,0.0,0,0
fiveg_nidd,0,s143382,A1_misdirection,0.0,0,0
fiveg_nidd,0,s177878,A1_misdirection,0.0,0,0
fiveg_nidd,0,s315997,A1_misdirection,0.0,0,0
fiveg_nidd,0,s140282,A1_misdirection,0.0,0,0
fiveg_nidd,0,s339968,A1_misdirection,0.0,0,0
fiveg_nidd,0,s304502,A1_misdirection,0.0,0,0
fiveg_nidd,0,s316504,A1_misdirection,0.0,0,0
fiveg_nidd,0,s350274,A1_misdirection,0.0,0,0
fiveg_nidd,0,s134692,A1_misdirection,0.0,0,0
fiveg_nidd,0,s158772,A1_misdirection,0.0,0,0
fiveg_nidd,0,s323492,A1_misdirection,0.0,0,0
fiveg_nidd,0,s107418,A1_misdirection,0.0,0,0
fiveg_nidd,0,s140828,A1_misdirection,0.0,0,0
fiveg_nidd,0,s314919,A1_misdirection,0.0,0,0
fiveg_nidd,0,s119595,A1_misdirection,0.0,0,0
fiveg_nidd,0,s317411,A1_misdirection,0.0,0,0
fiveg_nidd,0,s315447,A1_misdirection,0.0,0,0
fiveg_nidd,0,s107719,A1_misdirection,0.0,0,0
fiveg_nidd,0,s314273,A1_misdirection,0.0,0,0
fiveg_nidd,0,s142924,A1_misdirection,0.0,0,0
fiveg_nidd,0,s159289,A1_misdirection,0.0,0,0
fiveg_nidd,0,s134927,A1_misdirection,0.0,0,0
fiveg_nidd,0,s119388,A1_misdirection,0.0,0,0
fiveg_nidd,0,s303374,A1_misdirection,0.0,0,0
fiveg_nidd,0,s313388,A1_misdirection,0.0,0,0
fiveg_nidd,0,s118599,A1_misdirection,0.0,0,0
fiveg_nidd,0,s129888,A1_misdirection,0.0,0,0
fiveg_nidd,0,s341111,A1_misdirection,0.0,0,0
fiveg_nidd,0,s134375,A1_misdirection,0.062194,1,0
fiveg_nidd,0,s135091,A1_misdirection,0.0,0,0
fiveg_nidd,0,s134477,A1_misdirection,0.0,0,0
fiveg_nidd,0,s305096,A1_misdirection,0.0,0,0
fiveg_nidd,0,s302737,A1_misdirection,0.0,0,0
fiveg_nidd,0,s313193,A1_misdirection,0.0,0,0
fiveg_nidd,0,s292175,A1_misdirection,0.0,0,0
fiveg_nidd,0,s179653,A1_misdirection,0.0,0,0
fiveg_nidd,0,s142652,A1_displacement,0.0,0,0
fiveg_nidd,0,s129551,A1_displacement,0.0,0,0
fiveg_nidd,0,s140444,A1_displacement,0.0,0,0
fiveg_nidd,0,s350314,A1_displacement,0.004758,1,0
fiveg_nidd,0,s324688,A1_displacement,0.0,0,0
fiveg_nidd,0,s143546,A1_displacement,0.0,0,0
fiveg_nidd,0,s119913,A1_displacement,0.0,0,0
fiveg_nidd,0,s293339,A1_displacement,0.0,0,0
fiveg_nidd,0,s179833,A1_displacement,0.0,0,0
fiveg_nidd,0,s305325,A1_displacement,0.0,0,0
fiveg_nidd,0,s140433,A1_displacement,0.088167,1,0
fiveg_nidd,0,s135482,A1_displacement,0.0,0,0
fiveg_nidd,0,s324030,A1_displacement,0.004758,1,0
fiveg_nidd,0,s293500,A1_displacement,0.0,0,0
fiveg_nidd,0,s303750,A1_displacement,0.088167,1,0
fiveg_nidd,0,s316302,A1_displacement,0.0,0,0
fiveg_nidd,0,s293495,A1_displacement,0.0,0,0
fiveg_nidd,0,s340087,A1_displacement,0.0,0,0
fiveg_nidd,0,s143477,A1_displacement,0.088167,1,0
fiveg_nidd,0,s141529,A1_displacement,0.0,0,0
fiveg_nidd,0,s140681,A1_displacement,0.0,0,0
fiveg_nidd,0,s141150,A1_displacement,0.0,0,0
fiveg_nidd,0,s304225,A1_displacement,0.00907,1,0
fiveg_nidd,0,s312287,A1_displacement,0.0,0,0
fiveg_nidd,0,s143382,A1_displacement,0.0,0,0
fiveg_nidd,0,s177878,A1_displacement,0.0,0,0
fiveg_nidd,0,s315997,A1_displacement,0.05698,1,0
fiveg_nidd,0,s140282,A1_displacement,0.0,0,0
fiveg_nidd,0,s339968,A1_displacement,0.0,0,0
fiveg_nidd,0,s304502,A1_displacement,0.059487,1,0
fiveg_nidd,0,s316504,A1_displacement,0.010164,1,0
fiveg_nidd,0,s350274,A1_displacement,0.021675,1,0
fiveg_nidd,0,s134692,A1_displacement,0.0,0,0
fiveg_nidd,0,s158772,A1_displacement,0.0,0,0
fiveg_nidd,0,s323492,A1_displacement,0.0,0,0
fiveg_nidd,0,s107418,A1_displacement,0.0,0,0
fiveg_nidd,0,s140828,A1_displacement,0.0,0,0
fiveg_nidd,0,s314919,A1_displacement,0.0,0,0
fiveg_nidd,0,s119595,A1_displacement,0.0,0,0
fiveg_nidd,0,s317411,A1_displacement,0.0,0,0
