dataset,seed,attack,signal,auroc
fiveg_nidd,0,A1_misdirection,cross_method_consensus,0.4818
fiveg_nidd,0,A1_misdirection,certified_stability,0.4833
fiveg_nidd,0,A1_displacement,cross_method_consensus,0.3492
fiveg_nidd,0,A1_displacement,certified_stability,0.3833
fiveg_nidd,0,A3_scaffolding,cross_method_consensus,0.8192
fiveg_nidd,0,A3_scaffolding,certified_stability,0.5
fiveg_nidd,1,A1_misdirection,cross_method_consensus,0.4721
fiveg_nidd,1,A1_misdirection,certified_stability,0.4142
fiveg_nidd,1,A1_displacement,cross_method_consensus,0.4603
fiveg_nidd,1,A1_displacement,certified_stability,0.2037
fiveg_nidd,1,A3_scaffolding,cross_method_consensus,0.7142
fiveg_nidd,1,A3_scaffolding,certified_stability,0.5
fiveg_nidd,2,A1_misdirection,cross_method_consensus,0.4965
fiveg_nidd,2,A1_misdirection,certified_stability,0.5081
fiveg_nidd,2,A1_displacement,cross_method_consensus,0.2272
fiveg_nidd,2,A1_displacement,certified_stability,0.2399
fiveg_nidd,2,A3_scaffolding,cross_method_consensus,0.7499
fiveg_nidd,2,A3_scaffolding,certified_stability,0.5165
fiveg_nidd,3,A1_misdirection,cross_method_consensus,0.5064
fiveg_nidd,3,A1_misdirection,certified_stability,0.4475
fiveg_nidd,3,A1_displacement,cross_method_consensus,0.446
fiveg_nidd,3,A1_displacement,certified_stability,0.2439
fiveg_nidd,3,A3_scaffolding,cross_method_consensus,0.7603
fiveg_nidd,3,A3_scaffolding,certified_stability,0.5254
fiveg_nidd,4,A1_misdirection,cross_method_consensus,0.534
fiveg_nidd,4,A1_misdirection,certified_stability,0.4833
fiveg_nidd,4,A1_displacement,cross_method_consensus,0.2907
fiveg_nidd,4,A1_displacement,certified_stability,0.35
fiveg_nidd,4,A3_scaffolding,cross_method_consensus,0.6896
fiveg_nidd,4,A3_scaffolding,certified_stability,0.5
