seed,condition,radius
0,clean,0.003694
0,clean,0.098295
0,clean,0.088167
0,clean,0.098295
0,clean,0.098295
0,clean,0.088167
0,clean,0.0
0,clean,0.016924
0,clean,0.032094
0,clean,0.052433
0,clean,0.05698
0,clean,0.006902
0,clean,0.081508
0,clean,0.046466
0,clean,0.098295
0,clean,0.081508
0,clean,0.098295
0,clean,0.081508
0,clean,0.048362
0,clean,0.098295
0,clean,0.0429
0,clean,0.021675
0,clean,0.0
0,clean,0.098295
0,clean,0.098295
0,clean,0.0
0,clean,0.088167
0,clean,0.002635
0,clean,0.068415
0,clean,0.098295
0,clean,0.000527
0,clean,0.081508
0,clean,0.050347
0,clean,0.062194
0,clean,0.098295
0,clean,0.098295
0,clean,0.012378
0,clean,0.00907
0,clean,0.050347
0,clean,0.0
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.025413
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.044649
0,A1_misdirection,0.052433
0,A1_misdirection,0.098295
0,A1_misdirection,0.0
0,A1_misdirection,0.050347
0,A1_misdirection,0.022902
0,A1_misdirection,0.098295
0,A1_misdirection,0.050347
0,A1_misdirection,0.072099
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.033516
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.054638
0,A1_misdirection,0.098295
0,A1_misdirection,0.001579
0,A1_misdirection,0.013499
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.0
0,A1_misdirection,0.088167
0,A1_misdirection,0.098295
0,A1_misdirection,0.0
0,A1_misdirection,0.029343
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.068415
0,A1_misdirection,0.006902
0,A1_displacement,0.0
0,A1_displacement,0.016924
0,A1_displacement,0.0
0,A1_displacement,0.0
0,A1_displacement,0.098295
0,A1_displacement,0.01927
0,A1_displacement,0.0
0,A1_displacement,0.0
0,A1_displacement,0.020464
0,A1_displacement,0.016924
0,A1_displacement,0.0429
0,A1_displacement,0.072099
0,A1_displacement,0.0
0,A1_displacement,0.0
0,A1_displacement,0.052433
0,A1_displacement,0.0
0,A1_displacement,0.00907
0,A1_displacement,0.0
0,A1_displacement,0.098295
0,A1_displacement,0.041214
0,A1_displacement,0.088167
0,A1_displacement,0.014629
0,A1_displacement,0.020464
0,A1_displacement,0.003694
0,A1_displacement,0.0
0,A1_displacement,0.0
0,A1_displacement,0.006902
0,A1_displacement,0.001579
0,A1_displacement,0.0
0,A1_displacement,0.098295
0,A1_displacement,0.098295
0,A1_displacement,0.007983
0,A1_displacement,0.010164
0,A1_displacement,0.054638
0,A1_displacement,0.001579
0,A1_displacement,0.0
0,A1_displacement,0.034973
0,A1_displacement,0.000527
0,A1_displacement,0.098295
0,A1_displacement,0.028009
1,clean,0.030704
1,clean,0.068415
1,clean,0.0
1,clean,0.039583
1,clean,0.098295
1,clean,0.072099
1,clean,0.0
1,clean,0.028009
1,clean,0.0
1,clean,0.065147
1,clean,0.022902
1,clean,0.076365
1,clean,0.076365
1,clean,0.0
1,clean,0.041214
1,clean,0.00907
1,clean,0.011267
1,clean,0.0
1,clean,0.028009
1,clean,0.076365
1,clean,0.0
1,clean,0.001579
1,clean,0.044649
1,clean,0.088167
1,clean,0.003694
1,clean,0.036467
1,clean,0.006902
1,clean,0.00907
1,clean,0.030704
1,clean,0.072099
1,clean,0.054638
1,clean,0.012378
1,clean,0.098295
1,clean,0.0
1,clean,0.0
1,clean,0.054638
1,clean,0.081508
1,clean,0.098295
1,clean,0.059487
1,clean,0.003694
1,A1_misdirection,0.098295
1,A1_misdirection,0.076365
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.00907
1,A1_misdirection,0.05698
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.0
1,A1_misdirection,0.015771
1,A1_misdirection,0.098295
1,A1_misdirection,0.025413
1,A1_misdirection,0.072099
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.054638
1,A1_misdirection,0.098295
1,A1_misdirection,0.028009
1,A1_misdirection,0.0
1,A1_misdirection,0.088167
