seed,condition,radius
0,clean,0.005827
0,clean,0.0
0,clean,0.098295
0,clean,0.020464
0,clean,0.0
0,clean,0.059487
0,clean,0.065147
0,clean,0.081508
0,clean,0.030704
0,clean,0.05698
0,clean,0.00907
0,clean,0.038002
0,clean,0.003694
0,clean,0.050347
0,clean,0.004758
0,clean,0.0
0,clean,0.0
0,clean,0.0
0,clean,0.0
0,clean,0.015771
0,clean,0.0
0,clean,0.029343
0,clean,0.013499
0,clean,0.050347
0,clean,0.0
0,clean,0.059487
0,clean,0.033516
0,clean,0.013499
0,clean,0.01809
0,clean,0.054638
0,clean,0.098295
0,clean,0.044649
0,clean,0.014629
0,clean,0.062194
0,clean,0.05698
0,clean,0.0
0,clean,0.081508
0,clean,0.007983
0,clean,0.030704
0,clean,0.0
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.068415
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.0
0,A1_misdirection,0.076365
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.038002
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.016924
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.050347
0,A1_misdirection,0.098295
0,A1_misdirection,0.029343
0,A1_misdirection,0.088167
0,A1_misdirection,0.098295
0,A1_misdirection,0.003694
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.028009
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.065147
0,A1_misdirection,0.098295
0,A1_misdirection,0.065147
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.076365
0,A1_misdirection,0.098295
0,A1_displacement,0.098295
0,A1_displacement,0.002635
0,A1_displacement,0.054638
0,A1_displacement,0.001579
0,A1_displacement,0.015771
0,A1_displacement,0.028009
0,A1_displacement,0.039583
0,A1_displacement,0.044649
0,A1_displacement,0.006902
0,A1_displacement,0.004758
0,A1_displacement,0.0
0,A1_displacement,0.039583
0,A1_displacement,0.098295
0,A1_displacement,0.032094
0,A1_displacement,0.0
0,A1_displacement,0.0429
0,A1_displacement,0.0
0,A1_displacement,0.0
0,A1_displacement,0.0
0,A1_displacement,0.098295
0,A1_displacement,0.036467
0,A1_displacement,0.0
0,A1_displacement,0.0
0,A1_displacement,0.003694
0,A1_displacement,0.098295
0,A1_displacement,0.0
0,A1_displacement,0.022902
0,A1_displacement,0.024147
0,A1_displacement,0.039583
0,A1_displacement,0.0
0,A1_displacement,0.098295
0,A1_displacement,0.0
0,A1_displacement,0.024147
0,A1_displacement,0.0
0,A1_displacement,0.030704
