seed,condition,radius
0,clean,0.0
0,clean,0.0
0,clean,0.013499
0,clean,0.011267
0,clean,0.062194
0,clean,0.030704
0,clean,0.098295
0,clean,0.0
0,clean,0.0
0,clean,0.028009
0,clean,0.0
0,clean,0.044649
0,clean,0.098295
0,clean,0.052433
0,clean,0.0
0,clean,0.006902
0,clean,0.015771
0,clean,0.036467
0,clean,0.041214
0,clean,0.015771
0,clean,0.098295
0,clean,0.098295
0,clean,0.081508
0,clean,0.016924
0,clean,0.014629
0,clean,0.081508
0,clean,0.076365
0,clean,0.098295
0,clean,0.059487
0,clean,0.038002
0,clean,0.041214
0,clean,0.098295
0,clean,0.000527
0,clean,0.081508
0,clean,0.038002
0,clean,0.011267
0,clean,0.065147
0,clean,0.0429
0,clean,0.076365
0,clean,0.003694
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.088167
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.034973
0,A1_misdirection,0.021675
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.076365
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.014629
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.059487
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_misdirection,0.098295
0,A1_displacement,0.098295
0,A1_displacement,0.034973
0,A1_displacement,0.026699
0,A1_displacement,0.076365
0,A1_displacement,0.046466
0,A1_displacement,0.052433
0,A1_displacement,0.065147
0,A1_displacement,0.0
0,A1_displacement,0.039583
0,A1_displacement,0.038002
0,A1_displacement,0.062194
0,A1_displacement,0.0
0,A1_displacement,0.076365
0,A1_displacement,0.081508
0,A1_displacement,0.013499
0,A1_displacement,0.016924
0,A1_displacement,0.068415
0,A1_displacement,0.05698
0,A1_displacement,0.098295
0,A1_displacement,0.0
0,A1_displacement,0.032094
0,A1_displacement,0.0
0,A1_displacement,0.098295
0,A1_displacement,0.0
0,A1_displacement,0.030704
0,A1_displacement,0.0
0,A1_displacement,0.01927
0,A1_displacement,0.014629
0,A1_displacement,0.0
0,A1_displacement,0.05698
0,A1_displacement,0.0
0,A1_displacement,0.072099
0,A1_displacement,0.052433
0,A1_displacement,0.098295
0,A1_displacement,0.0
0,A1_displacement,0.098295
0,A1_displacement,0.0
0,A1_displacement,0.098295
0,A1_displacement,0.0
0,A1_displacement,0.01809
1,clean,0.026699
1,clean,0.076365
1,clean,0.0
1,clean,0.098295
1,clean,0.048362
1,clean,0.0
1,clean,0.0
1,clean,0.0
1,clean,0.038002
1,clean,0.0
1,clean,0.098295
1,clean,0.081508
1,clean,0.0
1,clean,0.098295
1,clean,0.041214
1,clean,0.098295
1,clean,0.098295
1,clean,0.088167
1,clean,0.0
1,clean,0.003694
1,clean,0.088167
1,clean,0.029343
1,clean,0.0
1,clean,0.003694
1,clean,0.098295
1,clean,0.004758
1,clean,0.004758
1,clean,0.0
1,clean,0.0
1,clean,0.0
1,clean,0.004758
1,clean,0.081508
1,clean,0.0
1,clean,0.072099
1,clean,0.081508
1,clean,0.028009
1,clean,0.032094
1,clean,0.013499
1,clean,0.098295
1,clean,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.059487
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_misdirection,0.033516
1,A1_misdirection,0.098295
1,A1_misdirection,0.098295
1,A1_displacement,0.098295
1,A1_displacement,0.033516
1,A1_displacement,0.022902
1,A1_displacement,0.022902
1,A1_displacement,0.098295
1,A1_displacement,0.098295
1,A1_displacement,0.0
1,A1_displacement,0.002635
1,A1_displacement,0.048362
1,A1_displacement,0.0
1,A1_displacement,0.000527
1,A1_displacement,0.076365
1,A1_displacement,0.0
1,A1_displacement,0.0
1,A1_displacement,0.098295
1,A1_displacement,0.098295
1,A1_displacement,0.002635
1,A1_displacement,0.0
1,A1_displacement,0.0
1,A1_displacement,0.098295
1,A1_displacement,0.001579
1,A1_displacement,0.098295
1,A1_displacement,0.098295
1,A1_displacement,0.0
1,A1_displacement,0.005827
1,A1_displacement,0.072099
1,A1_displacement,0.0
1,A1_displacement,0.003694
1,A1_displacement,0.026699
1,A1_displacement,0.000527
1,A1_displacement,0.002635
1,A1_displacement,0.065147
1,A1_displacement,0.098295
1,A1_displacement,0.098295
1,A1_displacement,0.026699
1,A1_displacement,0.098295
1,A1_displacement,0.088167
1,A1_displacement,0.030704
1,A1_displacement,0.098295
1,A1_displacement,0.020464
2,clean,0.0
2,clean,0.072099
2,clean,0.020464
2,clean,0.038002
2,clean,0.098295
2,clean,0.034973
2,clean,0.068415
2,clean,0.014629
2,clean,0.081508
2,clean,0.0
2,clean,0.081508
2,clean,0.052433
2,clean,0.072099
2,clean,0.098295
2,clean,0.002635
2,clean,0.088167
2,clean,0.098295
2,clean,0.081508
2,clean,0.0
2,clean,0.081508
2,clean,0.011267
2,clean,0.014629
2,clean,0.065147
2,clean,0.0
2,clean,0.098295
2,clean,0.088167
2,clean,0.022902
2,clean,0.0
2,clean,0.046466
2,clean,0.098295
2,clean,0.013499
2,clean,0.044649
2,clean,0.098295
2,clean,0.098295
2,clean,0.0
2,clean,0.065147
2,clean,0.059487
2,clean,0.098295
2,clean,0.038002
2,clean,0.032094
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.088167
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
2,A1_misdirection,0.098295
